train/approx_kl,train/value_loss,time-step
,,2048
0.008828652,54.46504916548729,4096
0.010336123,37.32872384190559,6144
0.008358482,52.79786917567253,8192
0.0086098965,59.64932736158371,10240
0.009019559,58.699989980459215,12288
0.006821599,57.4137746155262,14336
0.0036254083,36.80744529813528,16384
0.008833869,14.33197863213718,18432
0.006612828,31.64226498454809,20480
0.006498711,18.582289625704288,22528
0.0071342136,9.1094972204417,24576
0.006533617,10.302160838246346,26624
0.0069076098,25.90320923123509,28672
0.013225468,27.49137055631727,30720
0.0071492502,1.122974761459045,32768
0.0043755136,0.7081703702933737,34816
0.0038497713,0.4682658380654175,36864
0.0038634003,0.2767599702165171,38912
0.0038626518,0.1623461790688452,40960
0.0025716857,0.1050332645587332,43008
0.003462641,0.0645369419002236,45056
0.0055298363,0.0414353459778794,47104
0.00798466,0.0369154090476513,49152
0.0051111397,0.0181540858648077,51200
0.0044598873,0.0114007281190424,53248
0.004345098,0.0073008747514904,55296
0.0029308326,0.0047373788107961,57344
0.0038065948,0.0032457316128329,59392
0.003412549,0.0021709478188313,61440
0.005478826,0.0014674477551807,63488
0.0027873241,0.0009922254572074,65536
0.002502461,0.0008010803363958,67584
0.0059610484,0.0005001715550974,69632
0.0019818621,0.0003536926693811,71680
0.002234097,0.0002469369251002,73728
0.0028179293,0.0001688435829237,75776
0.0018837785,0.0001276943324086,77824
0.00057272345,8.489453859965579e-05,79872
0.002653074,6.607853865432389e-05,81920
0.0031474119,4.765172185443589e-05,83968
0.0034791261,3.0152792803050943e-05,86016
0.0040417803,2.486388447664467e-05,88064
0.0058638793,1.713191722956253e-05,90112
0.002887472,1.2323046746587352e-05,92160
0.0045176866,8.976225569767848e-06,94208
0.0029730317,9.995244565175198e-06,96256
0.0027174451,5.434381287727775e-06,98304
0.0016792131,3.920273371704752e-06,100352
